Symbol,Price,Id
NYA,528.690002,1
NYA,527.210022,2
NYA,527.840027,3
NYA,531.119995,4
NYA,532.070007,5
NYA,532.599976,6
NYA,533.869995,7
NYA,534.289978,8
NYA,533.340027,9
NYA,534.400024,10
NYA,535.450012,11
NYA,537.460022,12
NYA,538.940002,13
NYA,537.669983,14
NYA,535.669983,15
NYA,535.97998,16
NYA,537.669983,17
NYA,538.099976,18
NYA,537.570007,19
NYA,537.359985,20
NYA,535.669983,21
NYA,533.340027,22
NYA,529.109985,23
NYA,531.440002,24
NYA,532.070007,25
NYA,535.450012,26
NYA,537.25,27
NYA,536.830017,28
NYA,539.890015,29
NYA,538.409973,30
NYA,538.309998,31
NYA,537.780029,32
NYA,535.450012,33
NYA,535.349976,34
NYA,532.48999,35
NYA,531.440002,36
NYA,528.26001,37
NYA,525.940002,38
NYA,522.450012,39
NYA,523.929993,40
NYA,524.559998,41
NYA,517.900024,42
NYA,512.830017,43
NYA,514.940002,44
NYA,513.349976,45
NYA,506.380005,46
NYA,506.899994,47
NYA,511.130005,48
NYA,511.23999,49
NYA,510.820007,50
NYA,504.899994,51
NYA,501.51001,52
NYA,504.26001,53
NYA,505.850006,54
NYA,508.279999,55
NYA,512.190002,56
NYA,513.669983,57
NYA,511.980011,58
NYA,512.719971,59
NYA,513.98999,60
NYA,514.940002,61
NYA,512.830017,62
NYA,508.600006,63
NYA,511.450012,64
NYA,515.580017,65
NYA,520.22998,66
NYA,523.51001,67
NYA,524.880005,68
NYA,525.940002,69
NYA,525.72998,70
NYA,524.140015,71
NYA,524.349976,72
NYA,525.409973,73
NYA,526.359985,74
NYA,524.25,75
NYA,524.559998,76
NYA,527.419983,77
NYA,529.109985,78
NYA,528.049988,79
NYA,527.52002,80
NYA,526.150024,81
NYA,524.349976,82
NYA,521.179993,83
NYA,521.179993,84
NYA,520.539978,85
NYA,514.72998,86
NYA,511.980011,87
NYA,503.100006,88
NYA,502.149994,89
NYA,493.480011,90
NYA,497.709991,91
NYA,498.549988,92
NYA,492.420013,93
NYA,487.339996,94
NYA,480.890015,95
NYA,476.450012,96
NYA,485.549988,97
NYA,484.809998,98
NYA,487.130005,99
NYA,491.470001,100
NYA,494.850006,101
NYA,496.75,102
NYA,496.75,103
NYA,498.450012,104
NYA,491.679993,105
NYA,491.779999,106
NYA,491.470001,107
NYA,492.100006,108
NYA,488.609985,109
NYA,485.119995,110
NYA,485.859985,111
NYA,489.350006,112
NYA,494.640015,113
NYA,496.970001,114
NYA,498.660004,115
NYA,496.75,116
NYA,495.589996,117
NYA,495.700012,118
NYA,495.48999,119
NYA,497.279999,120
NYA,498.230011,121
NYA,496.230011,122
NYA,496.440002,123
NYA,493.369995,124
NYA,491.040009,125
NYA,486.179993,126
NYA,485.440002,127
NYA,490.200012,128
NYA,491.040009,129
NYA,497.920013,130
NYA,499.709991,131
NYA,500.559998,132
NYA,499.820007,133
NYA,497.279999,134
NYA,494.220001,135
NYA,497.070007,136
NYA,498.549988,137
NYA,498.019989,138
